System,Game,Metascore,UserScore,ReleaseDate
ps,Sheep,71,tbd,"Nov  6, 2000"
ps,Disney's Dinosaur,44,tbd,"Aug 29, 2000"
ps,Xenogears,84,9.3,"Oct 20, 1998"
ps,NBA ShootOut 2003,tbd,2.8,"Sep 29, 2002"
ps,NBA ShootOut 2002,53,tbd,"Sep  1, 2001"
ps,NBA ShootOut 2001,71,tbd,"Oct 30, 2000"
ps,Mortal Kombat: Special Forces,28,2.9,"Jun 30, 2000"
ps,Star Wars: Demolition,63,tbd,"Nov 12, 2000"
ps,Star Trek: Invasion,76,tbd,"Jun 29, 2000"
ps,"Army Men: World War - Land, Sea, Air",35,tbd,"Sep 20, 2000"
ps,Runabout 2,49,tbd,"May 19, 2000"
ps,Need for Speed: High Stakes,86,8.7,"Mar  1, 1999"
ps,Medal of Honor,92,8.6,"Oct 31, 1999"
ps,Breakout,tbd,tbd,"Sep 22, 2000"
ps,Big Bass Fishing,tbd,7.2,"May  2, 2002"
ps,Danger Girl,43,6.0,"Sep  6, 2000"
ps,Valkyrie Profile,81,8.9,"Aug 29, 2000"
ps,Syphon Filter 3,73,8.6,"Nov  5, 2001"
ps,Gold and Glory:  The Road to El Dorado,34,tbd,"Dec 19, 2000"
ps,Final Fantasy Origins,79,9.3,"Apr  8, 2003"
ps,World Destruction League: Thunder Tanks,35,tbd,"Sep  9, 2000"
ps,Digimon World 2,42,8.1,"May 19, 2001"
ps,Digimon World 3,47,8.5,"Jun  5, 2002"
ps,Disney's Donald Duck: Goin' Quackers,65,tbd,"Nov 14, 2000"
ps,Einhander,89,9.0,"May  5, 1998"
ps,You Don't Know Jack: Mock 2,82,tbd,"Nov  6, 2000"
ps,Polaris SnoCross,57,tbd,"Aug 29, 2000"
ps,Vanishing Point,68,tbd,"Feb  5, 2001"
ps,NCAA March Madness 2001,71,tbd,"Dec  6, 2000"
ps,Mega Man X5,76,8.9,"Feb  1, 2001"
ps,Suikoden II,82,9.5,"Aug 31, 1999"
ps,Mega Man X6,65,7.2,"Dec  4, 2001"
ps,Supercross,73,tbd,"Nov 21, 2000"
ps,The Simpsons Wrestling,32,6.5,"Apr 12, 2001"
ps,Oddworld: Abe's Exoddus,88,9.3,"Oct 31, 1998"
ps,Smurf Racer!,52,tbd,"Apr  1, 2001"
ps,The Legend of Dragoon,74,9.4,"Jun 11, 2000"
ps,Alone in the Dark: The New Nightmare,77,8.3,"Jun 18, 2001"
ps,NBA Live 2002,81,8.8,"Oct 30, 2001"
ps,NBA Live 2003,tbd,8.2,"Oct  8, 2002"
ps,The King of Fighters '99,tbd,9.1,"Apr 22, 2001"
ps,Ultimate Fighting Championship,53,7.4,"Nov 13, 2000"
ps,Vanguard Bandits,62,8.4,"Apr 29, 2000"
ps,SnoCross Championship Racing,66,tbd,"Aug 22, 2000"
ps,NFL Blitz 2001,70,tbd,"Sep 14, 2000"
ps,Ford Racing,53,tbd,"Mar  6, 2001"
ps,Chrono Cross,94,8.8,"Aug 15, 2000"
ps,Ball Breakers,68,tbd,"Jul 26, 2000"
ps,Crash Bandicoot 3: Warped,91,8.9,"Oct 31, 1998"
ps,X-Men: Mutant Academy,75,7.7,"Jul 11, 2000"
